Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
hCoV-19/India/KA-VRDL-BMCRI1091/2023	EPI_ISL_16495505	GISAID	 	XBB.1.5	Complete	29726	Low	1145/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Karnataka		2023-01-13		2023-01-17 03:39:49	2023-01-17 03:39:49
hCoV-19/India/KA-VRDL-BMCRI1095/2023	EPI_ISL_16495868	GISAID	 	XBB.2	Partial	29494	Low	3194/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Karnataka		2023-01-13		2023-01-17 03:39:49	2023-01-17 03:39:49
hCoV-19/India/HR-INSACOG-NII-1532/2023	EPI_ISL_16537886	GISAID	 	Unassigned	Partial	28773	Low	12785/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Haryana		2023-01-17		2023-01-20 09:10:43	2023-01-20 09:10:43
hCoV-19/India/DL-ILBS7432/2023	EPI_ISL_16549252	GISAID	 	CH.1.1	Partial	29452	Low	1049/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7446/2023	EPI_ISL_16549274	GISAID	 	XBB	Partial	29279	Low	1688/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7434/2023	EPI_ISL_16549254	GISAID	 	BQ.1.1.18	Partial	29435	Low	889/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7450/2023	EPI_ISL_16549295	GISAID	 	BA.5.2.48	Complete	29747	High	0/0/-/-/-	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 04:11:18
hCoV-19/India/DL-ILBS7438/2023	EPI_ISL_16549306	GISAID	 	CH.1.1.3	Complete	29729	Low	54/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7419/2023	EPI_ISL_16549280	GISAID	 	BA.2.10	Complete	29754	High	0/0/-/-/-	Homo sapiens	2023-01-01	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 04:11:18
hCoV-19/India/DL-ILBS7449/2023	EPI_ISL_16549292	GISAID	 	CK.1	Complete	29748	Low	182/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7447/2023	EPI_ISL_16549294	GISAID	 	BQ.1.1	Complete	29760	High	0/0/-/-/-	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 04:11:18
hCoV-19/India/DL-ILBS7440/2023	EPI_ISL_16549269	GISAID	 	XBB.1	Partial	29667	Low	221/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7442/2023	EPI_ISL_16549270	GISAID	 	XBB.1	Complete	29734	Low	48/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7444/2023	EPI_ISL_16549307	GISAID	 	CH.1.1.3	Complete	29769	High	0/0/-/-/-	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 04:11:18
hCoV-19/India/DL-ILBS7445/2023	EPI_ISL_16549278	GISAID	 	XBB	Partial	29215	Low	3469/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7433/2023	EPI_ISL_16549263	GISAID	 	BQ.1.5	Partial	29626	Low	298/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/DL-ILBS7439/2023	EPI_ISL_16549268	GISAID	 	XBB.1.9	Complete	29756	Low	75/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Delhi		2023-01-18		2023-01-22 03:59:15	2023-01-22 03:59:15
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12992/2023	EPI_ISL_16598819	GISAID	 	XBB.2	Complete	29873	High	0/0/-/-/-	Homo sapiens	2023-01-10	India / Maharashtra / Amravati		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:57:34
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12982/2023	EPI_ISL_16598825	GISAID	 	BM.4.1.1	Complete	29867	Low	768/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12983/2023	EPI_ISL_16598826	GISAID	 	CH.1.1	Complete	29893	Low	443/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-13005/2023	EPI_ISL_16598838	GISAID	 	XBF	Complete	29864	Low	1103/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-13014/2023	EPI_ISL_16598829	GISAID	 	BM.1.1.1	Complete	29862	Low	1593/0/NA/NA/NA	Homo sapiens	2023-01-07	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-13019/2023	EPI_ISL_16598839	GISAID	 	XBB.1	Complete	29900	Low	421/0/NA/NA/NA	Homo sapiens	2023-01-11	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-13000/2023	EPI_ISL_16598835	GISAID	 	BQ.1.9	Complete	29867	Low	330/0/NA/NA/NA	Homo sapiens	2023-01-08	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-13015/2023	EPI_ISL_16598834	GISAID	 	BQ.1.2	Complete	29862	Low	853/0/NA/NA/NA	Homo sapiens	2023-01-08	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-13002/2023	EPI_ISL_16598837	GISAID	 	BQ.1.9	Complete	29862	Low	1811/0/NA/NA/NA	Homo sapiens	2023-01-09	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-13001/2023	EPI_ISL_16598836	GISAID	 	BQ.1.9	Complete	29899	High	0/0/-/-/-	Homo sapiens	2023-01-09	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:57:34
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12986/2023	EPI_ISL_16598817	GISAID	 	BN.1.3	Complete	29862	Low	1854/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Maharashtra / Alibag		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-13013/2023	EPI_ISL_16598828	GISAID	 	XBB.1	Complete	29894	Low	543/0/NA/NA/NA	Homo sapiens	2023-01-05	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12975/2023	EPI_ISL_16598818	GISAID	 	XBB.1	Complete	29886	Low	850/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Maharashtra / Amravati		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12993/2023	EPI_ISL_16598840	GISAID	 	XBB.1.5	Complete	29903	Low	93/0/NA/NA/NA	Homo sapiens	2023-01-12	India / Maharashtra / Pune		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12995/2023	EPI_ISL_16598831	GISAID	 	BA.2.10.1	Complete	29864	Low	1164/0/NA/NA/NA	Homo sapiens	2023-01-07	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12994/2023	EPI_ISL_16598830	GISAID	 	BA.2.75	Complete	29861	Low	954/0/NA/NA/NA	Homo sapiens	2023-01-06	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH-ICMR-NIV-INSACOG-NIV23193/2023	EPI_ISL_16598841	GISAID	 	BA.2.75	Complete	29901	High	0/0/-/-/-	Homo sapiens	2023-01-06	India / Maharashtra / Pune		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:57:34
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12997/2023	EPI_ISL_16598833	GISAID	 	XBB	Complete	29901	High	0/0/-/-/-	Homo sapiens	2023-01-03	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:57:34
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12996/2023	EPI_ISL_16598832	GISAID	 	XBB.2	Complete	29866	Low	1211/0/NA/NA/NA	Homo sapiens	2023-01-07	India / Maharashtra / Mumbai		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4994/2023	EPI_ISL_16604331	GISAID	 	Unassigned	Partial	28596	Low	12467/0/NA/NA/NA	Homo sapiens	2023-01-05	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4982/2023	EPI_ISL_16604325	GISAID	 	Unassigned	Partial	28596	Low	12596/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4992/2023	EPI_ISL_16604329	GISAID	 	BA.2.75	Partial	28588	Low	5141/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4990/2023	EPI_ISL_16604328	GISAID	 	BQ.1.1.31	Partial	28749	Low	950/0/NA/NA/NA	Homo sapiens	2023-01-05	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4989/2023	EPI_ISL_16604327	GISAID	 	XBB	Partial	28596	Low	3525/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4997/2023	EPI_ISL_16604334	GISAID	 	BM.1.1.1	Partial	28601	Low	1710/0/NA/NA/NA	Homo sapiens	2023-01-11	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4993/2023	EPI_ISL_16604330	GISAID	 	XBB.1	Partial	28596	Low	3078/0/NA/NA/NA	Homo sapiens	2023-01-05	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4996/2023	EPI_ISL_16604333	GISAID	 	XBB.1	Partial	28596	Low	3805/0/NA/NA/NA	Homo sapiens	2023-01-05	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/MH_BJCOG_INSACOG_4995/2023	EPI_ISL_16604332	GISAID	 	XBB.1	Partial	28867	Low	1172/0/NA/NA/NA	Homo sapiens	2023-01-05	India / Maharashtra		2023-01-20		2023-01-24 05:46:51	2023-01-24 05:46:51
hCoV-19/India/DL-MAMC-LNHD03/2023	EPI_ISL_16613980	GISAID	 	BA.2.10.1	Complete	29859	Low	2319/0/NA/NA/NA	Homo sapiens	2023-01-11	India / Delhi		2023-01-23		2023-01-27 11:17:05	2023-01-27 11:17:05
hCoV-19/India/DL-MAMC-LNHD02/2023	EPI_ISL_16613719	GISAID	 	XBB.1.5	Complete	29859	Low	779/0/NA/NA/NA	Homo sapiens	2023-01-10	India / Delhi		2023-01-23		2023-01-27 11:17:05	2023-01-27 11:17:05
hCoV-19/India/DL-MAMC-LNHD01/2023	EPI_ISL_16613710	GISAID	 	BM.1.1.1	Partial	28790	Low	3800/0/NA/NA/NA	Homo sapiens	2023-01-09	India / Delhi		2023-01-23		2023-01-27 11:17:05	2023-01-27 11:17:05
hCoV-19/India/GJ-INSACOG-GBRC10193/2023	EPI_ISL_16617857	GISAID	 	Unassigned	Partial	29736	Low	9241/0/NA/NA/NA	Homo sapiens	2023-01-07	India / Gujarat / Vadodara		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10192/2023	EPI_ISL_16617856	GISAID	 	BA.5.2.6	Complete	29736	Low	4652/0/NA/NA/NA	Homo sapiens	2023-01-06	India / Gujarat / Vadodara		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10200/2023	EPI_ISL_16617864	GISAID	 	BQ.1.8	Complete	29736	Low	274/0/NA/NA/NA	Homo sapiens	2023-01-12	India / Gujarat / Vadodara		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10183/2023	EPI_ISL_16617847	GISAID	 	BQ.1.1.8	Complete	29736	Low	283/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10188/2023	EPI_ISL_16617852	GISAID	 	BQ.1.1.6	Complete	29792	Low	200/0/NA/NA/NA	Homo sapiens	2023-01-07	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10189/2023	EPI_ISL_16617853	GISAID	 	BQ.1.5	Complete	29792	Low	110/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Gujarat / Surat		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10176/2023	EPI_ISL_16617840	GISAID	 	BQ.1.1.8	Complete	29736	Low	512/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10177/2023	EPI_ISL_16617841	GISAID	 	BQ.1.1.8	Complete	29736	Low	486/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10178/2023	EPI_ISL_16617842	GISAID	 	XBB.1	Complete	29792	Low	352/0/NA/NA/NA	Homo sapiens	2023-01-05	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10179/2023	EPI_ISL_16617843	GISAID	 	XBB.1.9	Complete	29792	Low	229/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Anand		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10201/2023	EPI_ISL_16617865	GISAID	 	XBB.2	Complete	29792	Low	334/0/NA/NA/NA	Homo sapiens	2023-01-11	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10180/2023	EPI_ISL_16617844	GISAID	 	BM.2	Complete	29792	Low	243/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10174/2023	EPI_ISL_16617838	GISAID	 	XBB.1.5	Complete	29792	Low	217/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Anand		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10175/2023	EPI_ISL_16617839	GISAID	 	BQ.1.1.8	Complete	29736	Low	511/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10186/2023	EPI_ISL_16617850	GISAID	 	XBB.2	Complete	29792	Low	344/0/NA/NA/NA	Homo sapiens	2023-01-07	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10187/2023	EPI_ISL_16617851	GISAID	 	XBB.1.5	Complete	29792	Low	295/0/NA/NA/NA	Homo sapiens	2023-01-08	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10185/2023	EPI_ISL_16617849	GISAID	 	XBB.1.5	Complete	29792	Low	285/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10181/2023	EPI_ISL_16617845	GISAID	 	BA.4.6	Partial	29736	Low	4214/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10182/2023	EPI_ISL_16617846	GISAID	 	XBB.1.9	Complete	29792	Low	256/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Gujarat / Ahmedabad		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/GJ-INSACOG-GBRC10184/2023	EPI_ISL_16617848	GISAID	 	BM.4.1.1	Complete	29754	Low	4151/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Gujarat / Anand		2023-01-23		2023-01-27 11:17:12	2023-01-27 11:17:12
hCoV-19/India/DL-MAMC-LNHD08/2023	EPI_ISL_16633750	GISAID	 	BA.2.10.1	Complete	29861	Low	1421/0/NA/NA/NA	Homo sapiens	2023-01-11	India / Delhi		2023-01-24		2023-01-27 11:17:15	2023-01-27 11:17:15
hCoV-19/India/DL-MAMC-LNHD06/2023	EPI_ISL_16633494	GISAID	 	XBB.1.9	Complete	29863	Low	240/0/NA/NA/NA	Homo sapiens	2023-01-11	India / Delhi		2023-01-24		2023-01-27 11:17:15	2023-01-27 11:17:15
hCoV-19/India/DL-MAMC-LNHD04/2023	EPI_ISL_16633493	GISAID	 	BQ.1.2	Complete	29861	Low	7414/0/NA/NA/NA	Homo sapiens	2023-01-10	India / Delhi		2023-01-24		2023-01-27 11:17:15	2023-01-27 11:17:15
hCoV-19/India/DL-MAMC-LNHD05/2023	EPI_ISL_16633483	GISAID	 	XBB.1.9	Complete	29860	Low	2187/0/NA/NA/NA	Homo sapiens	2023-01-11	India / Delhi		2023-01-24		2023-01-27 11:17:15	2023-01-27 11:17:15
hCoV-19/India/HR-INSACOG-NII-1546/2023	EPI_ISL_16649097	GISAID	 	B	Complete	29689	Low	838/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Haryana		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HR-INSACOG-NII-1547/2023	EPI_ISL_16649098	GISAID	 	B	Partial	28620	Low	1525/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Haryana		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HR-INSACOG-NII-1545/2023	EPI_ISL_16649096	GISAID	 	B	Partial	28973	Low	1382/0/NA/NA/NA	Homo sapiens	2023-01-06	India / Haryana		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HP-INSACOG-NII-1539/2023	EPI_ISL_16649090	GISAID	 	XBB.1	Complete	29899	Low	31/0/NA/NA/NA	Homo sapiens	2023-01-06	India / Himachal Pradesh		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HP-INSACOG-NII-1541/2023	EPI_ISL_16649092	GISAID	 	B.1.1	Partial	28793	Low	605/0/NA/NA/NA	Homo sapiens	2023-01-09	India / Himachal Pradesh		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HP-INSACOG-NII-1540/2023	EPI_ISL_16649091	GISAID	 	B.1.1.529	Partial	28794	Low	378/0/NA/NA/NA	Homo sapiens	2023-01-07	India / Himachal Pradesh		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HR-INSACOG-NII-1548/2023	EPI_ISL_16649099	GISAID	 	CH.1.1	Complete	29692	Low	299/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Haryana		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HR-INSACOG-NII-1544/2023	EPI_ISL_16649095	GISAID	 	CK.1	Complete	29750	Low	37/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Haryana		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HR-INSACOG-NII-1543/2023	EPI_ISL_16649094	GISAID	 	BQ.1.1.24	Complete	29689	Low	37/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Haryana		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/HR-INSACOG-NII-1542/2023	EPI_ISL_16649093	GISAID	 	BQ.1.1	Complete	29734	Low	34/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Haryana		2023-01-25		2023-01-29 04:19:04	2023-01-29 04:19:04
hCoV-19/India/DL-MAMC-LNHD09/2023	EPI_ISL_16693310	GISAID	 	XBB.1.9	Partial	29860	Low	1382/0/NA/NA/NA	Homo sapiens	2023-01-12	India / Delhi		2023-01-27		2023-01-31 03:30:37	2023-01-31 03:30:37
