Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
hCoV-19/Singapore/R1MR179/2023	EPI_ISL_16415307	GISAID	 	XBF	Complete	29714	High	0/0/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:14:10
hCoV-19/Singapore/R1MR190/2023	EPI_ISL_16415301	GISAID	 	XBB.1.2	Complete	29798	High	0/2/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:14:10
hCoV-19/Singapore/R1NP53/2023	EPI_ISL_16473529	GISAID	 	BF.7.5	Partial	29447	High	0/0/NA/NA/NA	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP54/2023	EPI_ISL_16473512	GISAID	 	CM.8.1	Complete	29737	High	0/0/-/-/-	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP55/2023	EPI_ISL_16473500	GISAID	 	BQ.1.1.18	Complete	29744	High	0/0/-/-/-	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP56/2023	EPI_ISL_16473508	GISAID	 	XBB.1.2	Complete	29747	High	2/0/-/-/-	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP57/2023	EPI_ISL_16473535	GISAID	 	BN.1.2	Partial	29456	High	0/0/NA/NA/NA	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP58/2023	EPI_ISL_16473539	GISAID	 	BA.5.2.48	Partial	29450	High	0/0/NA/NA/NA	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP59/2023	EPI_ISL_16473552	GISAID	 	BN.1.3	Partial	29455	Low	146/0/NA/NA/NA	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R1NP60/2023	EPI_ISL_16473532	GISAID	 	BQ.1.15	Partial	29459	High	0/0/NA/NA/NA	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP61/2023	EPI_ISL_16473525	GISAID	 	XBB.1	Complete	29749	Low	200/0/NA/NA/NA	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R1NP62/2023	EPI_ISL_16473523	GISAID	 	XBB.1.2	Complete	29682	Low	116/0/NA/NA/NA	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R1NP63/2023	EPI_ISL_16473497	GISAID	 	XBF	Complete	29750	High	0/0/-/-/-	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP64/2023	EPI_ISL_16473513	GISAID	 	CJ.1.1	Complete	29741	High	0/0/-/-/-	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP65/2023	EPI_ISL_16473510	GISAID	 	XBF	Complete	29750	High	8/0/-/-/-	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP66/2023	EPI_ISL_16473511	GISAID	 	CM.8.1	Complete	29750	High	12/0/-/-/-	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP67/2023	EPI_ISL_16473495	GISAID	 	CH.1.1.3	Complete	29750	High	0/0/-/-/-	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP68/2023	EPI_ISL_16473503	GISAID	 	BQ.1.23	Complete	29741	High	0/0/-/-/-	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP69/2023	EPI_ISL_16473496	GISAID	 	CH.1.1.3	Complete	29750	High	0/0/-/-/-	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP70/2023	EPI_ISL_16473504	GISAID	 	BQ.1.1.32	Complete	29741	High	0/0/-/-/-	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP71/2023	EPI_ISL_16473509	GISAID	 	XBB.1.2	Complete	29747	High	3/0/-/-/-	Homo sapiens	2023-01-05	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP72/2023	EPI_ISL_16473501	GISAID	 	BQ.1.14	Complete	29744	High	0/0/-/-/-	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP73/2023	EPI_ISL_16473521	GISAID	 	XBB.1.5	Complete	29747	Low	181/0/NA/NA/NA	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R1NP74/2023	EPI_ISL_16473507	GISAID	 	XBB.1.5	Complete	29747	High	1/0/-/-/-	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP77/2023	EPI_ISL_16473506	GISAID	 	BN.1.8	Complete	29750	High	1/0/-/-/-	Homo sapiens	2023-01-06	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP78/2023	EPI_ISL_16473494	GISAID	 	XBC.1	Complete	29749	High	2/0/-/-/-	Homo sapiens	2023-01-07	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP79/2023	EPI_ISL_16473505	GISAID	 	BQ.1.1.22	Complete	29740	High	0/0/-/-/-	Homo sapiens	2023-01-07	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R1NP80/2023	EPI_ISL_16473498	GISAID	 	CH.1.1.3	Complete	29750	High	0/0/-/-/-	Homo sapiens	2023-01-07	Singapore		2023-01-11		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR100/2023	EPI_ISL_16483033	GISAID	 	CH.1.1.3	Complete	29725	High	0/1/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR101/2023	EPI_ISL_16483044	GISAID	 	BN.1.3	Complete	29830	High	0/2/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR10/2023	EPI_ISL_16482955	GISAID	 	XBB.1	Complete	29831	High	0/1/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR102/2023	EPI_ISL_16483024	GISAID	 	CH.1.1.3	Complete	29828	High	0/0/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR103/2023	EPI_ISL_16482977	GISAID	 	BQ.1.23	Complete	29794	High	0/1/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR104/2023	EPI_ISL_16482935	GISAID	 	XBB.2	Complete	29817	High	0/0/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR105/2023	EPI_ISL_16483013	GISAID	 	BQ.1.1.32	Complete	29732	High	0/0/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR106/2023	EPI_ISL_16483057	GISAID	 	BN.1.8	Complete	29828	High	0/1/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR107/2023	EPI_ISL_16482940	GISAID	 	XBB.1.1	Complete	29830	High	0/1/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR108/2023	EPI_ISL_16482952	GISAID	 	XBB.1	Complete	29781	High	0/3/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR110/2023	EPI_ISL_16482942	GISAID	 	XBB.1.1	Partial	29511	High	0/1/NA/NA/NA	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR111/2023	EPI_ISL_16482987	GISAID	 	BQ.1.13.1	Complete	29817	High	0/2/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR11/2023	EPI_ISL_16482994	GISAID	 	BQ.1.1.13	Complete	29824	High	0/0/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR112/2023	EPI_ISL_16483011	GISAID	 	BQ.1.1	Complete	29793	High	0/0/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR113/2023	EPI_ISL_16482953	GISAID	 	XBB.1.2	Complete	29831	High	0/1/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR114/2023	EPI_ISL_16482939	GISAID	 	XBB.1.1	Complete	29833	High	0/1/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR115/2023	EPI_ISL_16483050	GISAID	 	BN.1.3	Complete	29801	High	12/3/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR116/2023	EPI_ISL_16483097	GISAID	 	CM.8.1	Partial	29834	Low	82/0/NA/NA/NA	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R2MR117/2023	EPI_ISL_16483051	GISAID	 	BN.1.2	Complete	29832	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR118/2023	EPI_ISL_16482990	GISAID	 	BQ.1.1.18	Complete	29787	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR119/2023	EPI_ISL_16483052	GISAID	 	BN.1.2	Complete	29807	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR1/2023	EPI_ISL_16482965	GISAID	 	XBB.1.2	Complete	29700	High	0/1/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR121/2023	EPI_ISL_16482959	GISAID	 	XBB.1.9.1	Complete	29831	Low	19/5/NA/NA/NA	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R2MR12/2023	EPI_ISL_16482967	GISAID	 	XBB.1.2	Complete	29672	High	0/0/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR122/2023	EPI_ISL_16482986	GISAID	 	BQ.1.12	Complete	29716	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR123/2023	EPI_ISL_16482947	GISAID	 	XBB.1.9.1	Complete	29827	High	0/2/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR124/2023	EPI_ISL_16482938	GISAID	 	XBB.1.5	Complete	29831	Low	240/3/NA/NA/NA	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R2MR125/2023	EPI_ISL_16483029	GISAID	 	CH.1.1.3	Complete	29805	High	5/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR126/2023	EPI_ISL_16482934	GISAID	 	XBB.2	Complete	29834	High	0/8/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR127/2023	EPI_ISL_16482999	GISAID	 	BQ.1.1	Complete	29831	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR129/2023	EPI_ISL_16482951	GISAID	 	XBB.1.2	Complete	29808	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR130/2023	EPI_ISL_16483061	GISAID	 	BF.7.4.1	Complete	29828	High	2/4/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR131/2023	EPI_ISL_16482949	GISAID	 	XBB.1	Complete	29819	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR13/2023	EPI_ISL_16483099	GISAID	 	CM.12	Complete	29694	High	0/3/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR132/2023	EPI_ISL_16483002	GISAID	 	BQ.1.1.32	Complete	29821	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR133/2023	EPI_ISL_16482974	GISAID	 	BQ.1.5	Complete	29831	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR134/2023	EPI_ISL_16482984	GISAID	 	BQ.1.12	Complete	29825	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR135/2023	EPI_ISL_16483005	GISAID	 	BQ.1.1	Complete	29794	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR136/2023	EPI_ISL_16482983	GISAID	 	BQ.1.12	Complete	29828	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR137/2023	EPI_ISL_16482988	GISAID	 	BQ.1.13.1	Complete	29784	High	0/2/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR138/2023	EPI_ISL_16483031	GISAID	 	CH.1.1.3	Complete	29795	High	0/2/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR139/2023	EPI_ISL_16482997	GISAID	 	BQ.1.1.13	Complete	29666	Low	254/0/NA/NA/NA	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R2MR140/2023	EPI_ISL_16483090	GISAID	 	BA.5.2.48	Complete	29822	Low	149/6/NA/NA/NA	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R2MR141/2023	EPI_ISL_16483066	GISAID	 	BF.7.14	Complete	29793	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR14/2023	EPI_ISL_16483025	GISAID	 	CH.1.1.3	Complete	29832	High	0/0/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR142/2023	EPI_ISL_16482995	GISAID	 	BQ.1.1.13	Complete	29785	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR143/2023	EPI_ISL_16483086	GISAID	 	BA.5.2.48	Complete	29733	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR144/2023	EPI_ISL_16482960	GISAID	 	XBB.1	Complete	29824	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR145/2023	EPI_ISL_16483065	GISAID	 	BF.7.14	Complete	29807	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR146/2023	EPI_ISL_16483079	GISAID	 	BA.5.2.48	Complete	29820	High	0/2/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR147/2023	EPI_ISL_16483082	GISAID	 	BA.5.2.48	Complete	29798	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR148/2023	EPI_ISL_16483056	GISAID	 	BN.1.1.1	Complete	29690	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR149/2023	EPI_ISL_16483089	GISAID	 	BA.5.2.48	Complete	29669	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR150/2023	EPI_ISL_16483083	GISAID	 	BA.5.2.48	Complete	29783	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR151/2023	EPI_ISL_16483023	GISAID	 	CH.1.1.3	Complete	29830	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR15/2023	EPI_ISL_16483095	GISAID	 	CM.8.1	Complete	29739	Low	18/3/NA/NA/NA	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R2MR152/2023	EPI_ISL_16483081	GISAID	 	BA.5.2.48	Complete	29826	Low	26/0/NA/NA/NA	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R2MR154/2023	EPI_ISL_16483027	GISAID	 	CH.1.1.3	Complete	29834	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR155/2023	EPI_ISL_16483032	GISAID	 	CH.1.1.3	Complete	29794	High	0/2/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR156/2023	EPI_ISL_16483070	GISAID	 	BF.7.14	Complete	29735	High	3/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR157/2023	EPI_ISL_16483049	GISAID	 	BN.1.3	Complete	29801	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR16/2023	EPI_ISL_16483006	GISAID	 	BQ.1.1	Complete	29820	High	0/0/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR167/2023	EPI_ISL_16483017	GISAID	 	BQ.1.1.29	Complete	29701	High	0/2/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR168/2023	EPI_ISL_16482944	GISAID	 	XBB.1.2	Complete	29826	High	0/1/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR169/2023	EPI_ISL_16483062	GISAID	 	BF.7.14	Complete	29825	High	0/1/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR170/2023	EPI_ISL_16483071	GISAID	 	BF.7.14	Complete	29695	High	0/0/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR171/2023	EPI_ISL_16483058	GISAID	 	BN.1.8	Complete	29758	High	0/1/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR17/2023	EPI_ISL_16483014	GISAID	 	BQ.1.1	Complete	29825	High	0/2/-/-/-	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR173/2023	EPI_ISL_16482979	GISAID	 	BQ.1.23	Complete	29769	High	4/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR174/2023	EPI_ISL_16482946	GISAID	 	XBB.1.2	Complete	29831	High	0/3/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR175/2023	EPI_ISL_16482930	GISAID	 	XBF	Complete	29835	High	0/2/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR176/2023	EPI_ISL_16483030	GISAID	 	CH.1.1.3	Complete	29766	High	0/1/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
hCoV-19/Singapore/R2MR18/2023	EPI_ISL_16483036	GISAID	 	CH.1.1.3	Partial	29800	Low	61/0/NA/NA/NA	Homo sapiens	2023-01-03	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:08:52
hCoV-19/Singapore/R2MR19/2023	EPI_ISL_16482982	GISAID	 	BQ.1.23	Complete	29666	High	0/0/-/-/-	Homo sapiens	2023-01-04	Singapore		2023-01-12		2023-01-15 22:08:52	2023-01-15 22:14:18
